"Recipient(s):","Pakistan","","Flow(s):","ODA","","Amount:","Constant Prices (2014 USD millions)","","Type of Aid:","All Types, Total","","Flow Type(s):","Net Disbursements","","Channels:","All Channels, Total","",

"","","Time Period","2010","2011","2012","2013","2014","2015",
"Sector(s)","Donor(s)",
"I.1.b. Basic Education, Total","Ireland","","0.070072","0.017372","..","..","..",".."
"I.1.b. Basic Education, Total","Italy","","..","0.288508","0.189722","..","0.199018",".."
"I.1.b. Basic Education, Total","Japan","","1.623699","1.098171","1.421248","0.438438","0.041673","0.749666"
"I.1.b. Basic Education, Total","Korea","","0.035164","..","..","..","..",".."
"I.1.b. Basic Education, Total","Luxembourg","","..","..","..","..","..",".."
"I.1.b. Basic Education, Total","Netherlands","","8.969787","7.490415","7.54041","9.877302","5.631455","2.112267"
"I.1.b. Basic Education, Total","New Zealand","","..","..","..","..","..",".."
"I.1.b. Basic Education, Total","Norway","","3.967453","0.884683","3.920928","0.894401","0.96669","0.286279"
"I.1.b. Basic Education, Total","Poland","","..","..","..","..","..",".."
"I.1.b. Basic Education, Total","Portugal","","..","..","..","..","..",".."
"I.1.b. Basic Education, Total","Slovak Republic","","..","..","..","..","..",".."
"I.1.b. Basic Education, Total","Slovenia","","..","..","..","..","..",".."
"I.1.b. Basic Education, Total","Spain","","0.036377","..","..","0.005947","0.004811",".."
"I.1.b. Basic Education, Total","Sweden","","..","..","..","..","..",".."
"I.1.b. Basic Education, Total","Switzerland","","..","..","..","..","..",".."
"I.1.b. Basic Education, Total","United Kingdom","","0.431817","0.773237","5.9362","37.711018","32.292172","65.621492"
"I.1.b. Basic Education, Total","United States","","57.933812","36.357067","44.602069","36.887798","45.73737","50.712836"
"I.1.b. Basic Education, Total","Bulgaria","","..","..","..","..","..",".."
"I.1.b. Basic Education, Total","Croatia","","..","..","..","..","..",".."
"I.1.b. Basic Education, Total","Cyprus","","..","..","..","..","..",".."
"I.1.b. Basic Education, Total","Estonia","","..","..","..","..","..",".."
"I.1.b. Basic Education, Total","Hungary","","..","..","..","..","..",".."
"I.1.b. Basic Education, Total","Israel","","..","..","..","..","..",".."
"I.1.b. Basic Education, Total","Kazakhstan","","..","..","..","..","..",".."
"I.1.b. Basic Education, Total","Kuwait (KFAED)","","..","..","..","..","..",".."
"I.1.b. Basic Education, Total","Latvia","","..","..","..","..","..",".."
"I.1.b. Basic Education, Total","Liechtenstein","","..","..","..","..","..",".."
"I.1.b. Basic Education, Total","Lithuania","","..","..","..","..","..",".."
"I.1.b. Basic Education, Total","Malta","","..","..","..","..","..",".."
"I.1.b. Basic Education, Total","Romania","","..","..","..","..","..",".."
"I.1.b. Basic Education, Total","Russia","","..","..","..","..","..",".."
"I.1.b. Basic Education, Total","Saudi Arabia","","..","..","..","..","..",".."
"I.1.b. Basic Education, Total","Chinese Taipei","","..","..","..","..","..",".."
"I.1.b. Basic Education, Total","Thailand","","..","..","..","..","..",".."
"I.1.b. Basic Education, Total","Timor Leste","","..","..","..","..","..",".."
"I.1.b. Basic Education, Total","Turkey","","..","..","..","..","..",".."
"I.1.b. Basic Education, Total","United Arab Emirates","","..","..","..","..","1.84535","0.669551"
"I.1.c. Secondary Education, Total","Australia","","..","..","..","..","..",".."
"I.1.c. Secondary Education, Total","Austria","","0.052626","0.01418","..","..","..",".."
"I.1.c. Secondary Education, Total","Belgium","","..","..","..","..","..",".."
"I.1.c. Secondary Education, Total","Canada","","1.469687","3.318033","2.61564","..","0.124667","0.1935"
"I.1.c. Secondary Education, Total","Czech Republic","","..","..","..","..","0.003592",".."
"I.1.c. Secondary Education, Total","Denmark","","..","..","..","..","..",".."
"I.1.c. Secondary Education, Total","Finland","","..","..","0.119787","0.270851","0.335416","0.267155"
"I.1.c. Secondary Education, Total","France","","..","..","..","..","..",".."
"I.1.c. Secondary Education, Total","Germany","","0.936454","2.444171","4.067605","2.035243","2.53605","4.342318"
"I.1.c. Secondary Education, Total","Greece","","..","..","..","..","..",".."
"I.1.c. Secondary Education, Total","Iceland","","..","..","..","..","..",".."
"I.1.c. Secondary Education, Total","Ireland","","..","..","0.134425","..","..",".."
"I.1.c. Secondary Education, Total","Italy","","..","..","..","..","..",".."
"I.1.c. Secondary Education, Total","Japan","","3.725545","1.375946","5.331486","4.699751","8.289209","1.059976"
"I.1.c. Secondary Education, Total","Korea","","1.084284","0.815253","0.239602","0.152441","0.077406","0.003693"
"I.1.c. Secondary Education, Total","Luxembourg","","..","..","..","..","..",".."
"I.1.c. Secondary Education, Total","Netherlands","","2.065809","0.412337","6.01172","6.685465","2.914222","1.038527"
"I.1.c. Secondary Education, Total","New Zealand","","..","..","..","..","..",".."
"I.1.c. Secondary Education, Total","Norway","","0.02892","..","..","..","2.77694","3.204699"
"I.1.c. Secondary Education, Total","Poland","","..","..","..","..","..",".."
"I.1.c. Secondary Education, Total","Portugal","","..","..","..","..","..",".."
"I.1.c. Secondary Education, Total","Slovak Republic","","..","..","..","..","..",".."
"I.1.c. Secondary Education, Total","Slovenia","","..","..","..","..","..",".."
"I.1.c. Secondary Education, Total","Spain","","..","..","..","..","..",".."
"I.1.c. Secondary Education, Total","Sweden","","..","..","..","..","..",".."
"I.1.c. Secondary Education, Total","Switzerland","","..","..","..","..","..",".."
"I.1.c. Secondary Education, Total","United Kingdom","","9.337001","6.593143","0.347987","0.765729","0.160002","11.747893"
"I.1.c. Secondary Education, Total","United States","","..","..","..","..","..",".."
"I.1.c. Secondary Education, Total","Bulgaria","","..","..","..","..","..",".."
"I.1.c. Secondary Education, Total","Croatia","","..","..","..","..","..",".."
"I.1.c. Secondary Education, Total","Cyprus","","..","..","..","..","..",".."
"I.1.c. Secondary Education, Total","Estonia","","..","..","..","..","..",".."
"I.1.c. Secondary Education, Total","Hungary","","..","..","..","..","..",".."
"I.1.c. Secondary Education, Total","Israel","","..","..","..","..","..",".."
"I.1.c. Secondary Education, Total","Kazakhstan","","..","..","..","..","..",".."
"I.1.c. Secondary Education, Total","Kuwait (KFAED)","","..","..","..","..","..",".."
"I.1.c. Secondary Education, Total","Latvia","","..","..","..","..","..",".."
"I.1.c. Secondary Education, Total","Liechtenstein","","..","..","..","..","..",".."
"I.1.c. Secondary Education, Total","Lithuania","","..","..","..","..","..",".."
"I.1.c. Secondary Education, Total","Malta","","..","..","..","..","..",".."
"I.1.c. Secondary Education, Total","Romania","","..","..","..","..","..",".."
"I.1.c. Secondary Education, Total","Russia","","..","..","..","..","..",".."
"I.1.c. Secondary Education, Total","Saudi Arabia","","..","..","..","..","..",".."
"I.1.c. Secondary Education, Total","Chinese Taipei","","..","..","..","..","..",".."
"I.1.c. Secondary Education, Total","Thailand","","..","..","..","..","..",".."
"I.1.c. Secondary Education, Total","Timor Leste","","..","..","..","..","..",".."
"I.1.c. Secondary Education, Total","Turkey","","..","..","..","..","..",".."
"I.1.c. Secondary Education, Total","United Arab Emirates","","..","..","..","0.326612","1.64611","1.887094"
"I.1.d. Post-Secondary Education, Total","Australia","","3.525028","..","..","0.007638","..",".."
